,College Code,College Name,Course,Type,SM,EZ,MU,BH,LA,DV,VK,BX,KU,KN,SC,ST
81,KEB,"KMP College of Pharmacy, Perumbavoor, Ernakulam",B.Pharm,S,15064,18308,17153,19847,21562,0,0,26868,19263,0,31526,0
82,KMB,"KMCT College of Pharmaceutical Sciences, Kalanthode, Kozhikode",B.Pharm,S,11356,17515,14449,16024,42641,13052,15880,0,0,0,18264,30784
83,KNB,"College of Pharmacy, Kannur Medical College, Anajarakandy,",B.Pharm,S,20095,23110,20696,22835,27795,0,0,31418,0,35928,29239,0
84,KPB,"K T N College of Pharmacy, Puliyanamkunnu, Ottappalam , Palakkad",B.Pharm,S,23512,25334,23909,28063,29697,32322,26387,0,0,0,35980,0
85,KRB,"Karuna College of Pharmacy, Thirumittacode, Pattambi, Palakkad",B.Pharm,S,24000,28734,24014,32115,40241,33971,34912,0,0,0,39382,0
86,KVB,"K V M College of Pharmacy, Kokkothamangalam, Cherthala",B.Pharm,S,11648,14722,14403,26545,0,12896,25682,0,0,36991,29168,0
87,MCB,"Moulana College of Pharmacy, Nr. Railway Station, Perinthalmanna,",B.Pharm,S,18718,23176,19438,28823,43466,0,0,34227,39639,0,37888,0
88,MDB,"Mar Dioscorus College of Pharmacy, Alathara, Sreekaryam, TVPM",B.Pharm,S,14108,19247,16073,0,0,15913,18510,0,0,24888,23275,45000
89,MGB,"MGM Silver Jubilee College of Polytech & Pharmaceutical,",B.Pharm,S,10330,11895,10775,13454,0,16146,14377,0,0,0,16093,18844
90,MGK,"MGM Silver Jubilee College of Pharmacy, Kilimannoor,",B.Pharm,S,8901,10971,10272,13388,12710,0,0,0,0,0,14185,0
91,MKB,"Malik Deenar College of Pharmacy, Seethangoli, Bela, Kasaragod",B.Pharm,S,22517,30720,22612,29637,35932,0,0,0,0,0,38260,0
92,MMB,"Mookambika College of Pharmaceutical Scie. & Research,",B.Pharm,S,24503,30056,25457,0,0,32631,28701,29189,0,0,41411,0
93,MPB,Dr. Joseph Mar Thoma Institute of Pharmaceutical Scie. &,B.Pharm,S,22597,28060,23673,28883,24767,24636,0,0,30456,35666,32288,0
94,MZB,"Mount Zion College of Pharmaceutical Science and Research, Adoor",B.Pharm,S,22126,28108,23866,26080,30112,0,26916,0,0,0,26393,48444
95,NAB,"Nazareth College of Pharmacy, Othera, Thiruvalla, Pathanamthitta",B.Pharm,S,20535,28064,23008,20731,23903,26878,25272,0,0,0,33456,26732
96,NCB,"Nehru College of Pharmacy, Pampady, Thiruvilwamala, Thrissur",B.Pharm,S,22757,26412,23425,26784,37385,31272,23099,24473,40821,0,41026,0
97,NEB,"Nirmala College of Health Science, Meloor, Thrissur",B.Pharm,S,7630,11012,8280,9874,21529,10666,11411,0,0,0,11767,42758
98,NMB,"Nirmala College of Pharmacy, Muvattupuzha, Ernakulam",B.Pharm,S,18951,25657,22406,28404,31285,0,0,0,0,0,33565,0
99,NPB,"National College of Pharmacy, Manassery, Mukkam, Kozhikode",B.Pharm,S,17448,18487,18479,27337,31008,20579,27181,30173,0,32041,26526,35923
100,PCB,"Pushpagiri College of Pharmacy, Perumthuruthy, Thiruvalla",B.Pharm,S,16043,22902,21872,27349,17768,23779,20729,0,0,0,29408,0
101,PPB,"Prime College of Pharmacy, Erattayil, Palakkad",B.Pharm,S,24439,31014,24622,29009,35670,31347,33191,0,0,0,39393,0
102,RGB,"Rajiv Gandhi Institute of Pharmacy, Trikaripur,Kasaragod",B.Pharm,S,23431,28467,23967,25151,44574,0,0,33295,0,0,38350,0
103,RIB,"Department of Pharmaceutical Science, Puthuppally, Kottayam",B.Pharm,S,17980,20472,22328,0,0,26109,22803,0,0,30032,30215,0
104,SCB,"St. Joseph’s College of Pharmacy, Cherthala, Alappuzha",B.Pharm,S,17631,22425,21110,24831,20961,0,0,0,0,0,19813,0
105,SJB,"St. John's College of Pharmaceutical Scie. & Research, Kattapana,",B.Pharm,S,25366,29521,25655,0,0,31323,33310,32126,0,0,40231,53032
106,SKP,"Sree Krishna College of Pharmacy & Research Centre, Parassala,",B.Pharm,S,18452,21986,19422,23291,19225,29632,0,0,26956,25673,21599,0
107,SPB,"Sanjoe College of Pharmaceutical Studies, Kuzhalmannam, Palakkad",B.Pharm,S,25042,29004,25649,30109,37149,0,33210,0,0,0,40557,0
108,TIB,"Triveni Institute of Pharmacy, Kecheri, Thrissur",B.Pharm,S,23723,28002,24067,30783,40058,27838,27927,0,0,0,37459,0
109,WSB,"Westfort College of Pharmacy, Thrissur",B.Pharm,S,23602,28225,23950,25654,35544,0,0,31584,23669,26237,37144,0
110,KCT,"Kelappaji College of-Agrl. Engg. & Technology, Tavanur.",Agricultural Engineering,G,6465,10168,7736,7731,19513,14144,11036,0,0,0,23369,51212
111,KMW,"KMCT College of  Engineering for Women, Manassery.",Bio Medical Engineering,S,44998,48481,47262,0,0,0,0,0,0,0,53169,0
112,SHR,"Sahrdaya College of Engineering and Technology, Kodakara.",Bio Medical Engineering,S,27145,41427,28359,30850,40760,0,0,0,0,52719,52644,0
113,TKI,"T K M Institute of Technology, Ezhukone, Kollam.",Bio Medical Engineering,S,32923,40473,45472,34315,33118,45768,45671,0,0,0,52865,0
114,MET,"Met's School of Engineering, Mala.",Bio Technology,S,38000,44057,41918,0,0,0,0,0,0,0,45795,0
115,SHR,"Sahrdaya College of Engineering and Technology, Kodakara.",Bio Technology,S,29423,44657,42960,0,0,0,0,0,0,0,49516,52350
116,SCT,"S C T College of Engineering, Pappanamcode, TVPM",Bio Technology and Biomechanical Engg,N,10643,20008,17187,11188,20441,0,0,25290,33784,0,45975,0
