Program Category,Program Name,Degree,Program Type,Sanctioned Intake,Actual Intake,NRI,PIO,clg_name
Management,MASTERS IN BUSINESS ADMINISTRATION,MBA,Full Time,60,56,No,No,BISHOP JEROME INSTITUTE ( Private )
Engineering and Technology,ELECTRICAL AND ELECTRONICS ENGINEERING,B.Tech,Full Time,60,21,Yes,No,CARMEL COLLEGE OF ENGINEERING AND TECHNOLOGY ( Private )
Engineering and Technology,CIVIL ENGINEERING,B.Tech,Full Time,60,56,Yes,No,CARMEL COLLEGE OF ENGINEERING AND TECHNOLOGY ( Private )
Engineering and Technology,MECHANICAL ENGINEERING,B.Tech,Full Time,60,55,Yes,No,CARMEL COLLEGE OF ENGINEERING AND TECHNOLOGY ( Private )
Engineering and Technology,COMPUTER SCIENCE & ENGINEERING,B.Tech,Full Time,60,30,Yes,No,CARMEL COLLEGE OF ENGINEERING AND TECHNOLOGY ( Private )
Engineering and Technology,ELECTRICAL AND ELECTRONICS ENGINEERING,B.Tech,Full Time,60,57,Yes,No,CHRIST COLLEGE OF ENGINEERING ( Private )
Engineering and Technology,CIVIL ENGINEERING,B.Tech,Full Time,60,61,Yes,No,CHRIST COLLEGE OF ENGINEERING ( Private )
Engineering and Technology,MECHANICAL ENGINEERING,B.Tech,Full Time,60,63,Yes,No,CHRIST COLLEGE OF ENGINEERING ( Private )
Engineering and Technology,COMPUTER SCIENCE & ENGINEERING,B.Tech,Full Time,60,61,Yes,No,CHRIST COLLEGE OF ENGINEERING ( Private )
Engineering and Technology,ELECTRONICS & COMMUNICATION ENGG,B.Tech,Full Time,60,38,Yes,No,CHRIST COLLEGE OF ENGINEERING ( Private )
Engineering and Technology,CIVIL ENGINEERING,B.Tech,Full Time,60,6,Yes,No,CHRIST KNOWLEDGE CITY ( Private )
Engineering and Technology,ELECTRONICS & COMMUNICATION ENGG,B.Tech,Full Time,60,2,Yes,No,CHRIST KNOWLEDGE CITY ( Private )
Engineering and Technology,MECHANICAL ENGINEERING,B.Tech,Full Time,60,Admissions Pending,Yes,No,CHRIST KNOWLEDGE CITY ( Private )
Engineering and Technology,COMPUTER SCIENCE & ENGINEERING,B.Tech,Full Time,60,6,Yes,No,CHRIST KNOWLEDGE CITY ( Private )
Engineering and Technology,NAVAL ARCHITECTURE & SHIP BUILDING ENGG,B.Tech,Full Time,60,8,Yes,No,CHRIST KNOWLEDGE CITY ( Private )
Engineering and Technology,CIVIL ENGINEERING(STRUCTURAL ENGINEERING AND CONSTRUCTION MANAGEMENT),M.Tech,Full Time,24,Admissions Pending,Yes,No,CHRIST KNOWLEDGE CITY ( Private )
Engineering and Technology,COMPUTER SCIENCE AND ENGINEERING(COMPUTER SCIENCE AND ENGINEERING),M.Tech,Full Time,48,Admissions Pending,Yes,No,CHRIST KNOWLEDGE CITY ( Private )
Engineering and Technology,ELECTRONICS AND COMMUNICATION ENGINEERING(VLSI AND EMBEDDED SYSTEMS),M.Tech,Full Time,24,Admissions Pending,Yes,No,CHRIST KNOWLEDGE CITY ( Private )
MCA,MASTERS IN COMPUTER APPLICATIONS,MCA,Full Time,60,Admissions Pending,Yes,No,CHRIST KNOWLEDGE CITY ( Private )
MCA,MCA 2nd Year Direct,MCA (Second Year Direct),Full Time,60,16,Yes,No,CHRIST KNOWLEDGE CITY ( Private )
Engineering and Technology,COMPUTER SCIENCE & ENGINEERING,B.Tech,Full Time,120,3,Yes,No,COCHIN INSTITUTE OF SCIENCE AND TECHNOLOGY ( Private )
Engineering and Technology,CIVIL ENGINEERING,B.Tech,Full Time,120,2,Yes,No,COCHIN INSTITUTE OF SCIENCE AND TECHNOLOGY ( Private )
Engineering and Technology,AUTOMOBILE ENGINEERING,B.Tech,Full Time,60,1,Yes,No,COCHIN INSTITUTE OF SCIENCE AND TECHNOLOGY ( Private )
Engineering and Technology,MECHANICAL ENGINEERING,B.Tech,Full Time,120,13,Yes,No,COCHIN INSTITUTE OF SCIENCE AND TECHNOLOGY ( Private )
Engineering and Technology,ELECTRONICS & COMMUNICATION ENGG,B.Tech,Full Time,60,1,Yes,No,COCHIN INSTITUTE OF SCIENCE AND TECHNOLOGY ( Private )
