"Name of College","","Type","SM","EZ","MU","BH","LA","DV","VK","BX","KU","KN","SC","ST","Other Categories"
"SNG","Sree Narayana Gurukulam College of Engineering, Kolencherry.","S","51354","-","-","-","-","-","-","-","-","-","-","-",""
"SNM","Sree Narayana Mangalam Inst. of Mgmt. & Tech., Moothakunnam.","S","50572","-","-","-","-","-","-","-","-","-","-","-",""
"SNP","Sree Narayana Institute of Technology, Adoor","S","41000","-","-","-","-","-","-","-","-","-","-","-",""
"SNT","Sree Narayana Guru Institute of Science & Tech., N. Paravoor.","S","29911","-","-","-","-","-","-","-","-","-","-","-",""
"SPT","Sreepathy Institute of Management & Tech., Koottanad.","S","52118","-","-","-","-","-","-","-","-","-","-","-",""
"STC","St. Thomas College of Engg. & Technology, Chengannur.","S","51925","-","-","-","-","-","-","-","-","-","-","-",""
"STI","St. Thomas Institute of Science & Technology, Kattaikonam.","S","51740","-","-","-","-","-","-","-","-","-","-","-",""
"STM","St. Thomas College of Engineering & Technology,  Kannur.","S","48374","-","-","-","-","-","-","-","-","-","-","-",""
"TCE","Toms College of Engineering, Mattakara, Kottayam","S","50545","-","-","-","-","-","-","-","-","-","-","-",""
"TCT","Trinity College of Engg, Neruvamoodu, Thiruvananthapuram.","S","52347","-","-","-","-","-","-","-","-","-","-","-",""
"TEC","Travancore Engineering College, Oyoor, Kollam.","S","50516","-","-","-","-","-","-","-","-","-","-","-",""
"TJE","Thejus Engineering College, Erumapetti, Thrissur.","S","47386","-","-","-","-","-","-","-","-","-","-","-",""
"TKI","T K M Institute of Technology, Ezhukone, Kollam.","S","52087","-","-","-","-","-","-","-","-","-","-","-",""
"TOC","Toc H Institute of Science & Tech., Mulamthurutthy.","S","50108","-","-","-","-","-","-","-","-","-","-","-",""
"UKP","UKF College of Engineering & Tech., Parippally.","S","52745","-","-","-","-","-","-","-","-","-","-","-",""
"UNT","Universal Engineering College, Vallivattom, Thrissur.","S","52569","-","-","-","-","-","-","-","-","-","-","-",""
"VAK","Vidya Academy of Science & Technology, Kilimanoor.","S","51576","-","-","-","-","-","-","-","-","-","-","-",""
"VAS","Vidya Academy of Science & Technology, Thrissur.","S","52681","-","-","-","-","-","-","-","-","-","-","-",""
"VIT","Vijnan Institute of Science & Technology, Piravam.","S","-","-","-","-","-","-","-","-","-","-","-","-",""
"VJC","Viswajyothi College of Engg. & Technology,Vazhakulam.","S","51311","-","-","-","-","-","-","-","-","-","-","-",""
"VKE","Valia Koonambaikulathamma College of Engg. & tech., Parippally.","S","48201","-","-","-","-","-","-","-","-","-","-","-",""
"VML","Vimal Jyothi Engineering College, Chemperi.","S","52609","-","-","-","-","-","-","-","-","-","-","-",""
"VPE","Mahaguru Institute of Technology, Mavelikkara, Alappuzha","S","53132","-","-","-","-","-","-","-","-","-","-","-",""
"VVT","Veda Vyasa Institute of Technology, Ponnempadam, Malappuram.","S","-","-","-","-","-","-","-","-","-","-","-","-",""
"YCE","Younus College of Engg. & Technology, Vadakkevila, Kollam","S","53089","-","-","-","-","-","-","-","-","-","-","-","MM:45649"
